description,specialization,lang
Потрібно розробити логотип для агенції з організації свят. Назва Sun Day Потрібно зробити щось позитивне. А також розробка візиток та флаєрів.,Логотипы,uk
"Розробити дизайн та зверстати книжковий розворот у програмі Indesign з використанням стилів абзаців Тематика будь-яка, тому що це домашнє завдання з коледжу, просто гарно скомпонувати, додати картинки і все Пропонуйте свою ціну",Полиграфическая верстка,uk
парсинг сайта в xl таблицю! Фото опис арикул ціна (взагалі всі характеристики)весь каталог ціна договірна,Базы данных,uk
"Необхідно написати доповідь на тему ""Як дітей навчають протистояти насильству (за прикладом США)"". Важливо, використовувати цікаву інформацію, яка може бути цікавою для інших. (обсяг 3 сторінки А4)",Рефераты / Курсовые / Дипломы,uk
"Потрібно малювати весільний декор, фотозони, зразки Вам відправимо. 1 робота = 100 грн  Telegram - fatinrv",Ландшафтный дизайн/Генплан,uk
"Тема: Розгляд фонових знань необхідних для перекладу власних назв та текстів в галузі перекладознавства з із наявністю. Ознайомлення з положеннями перекладу та визначення особливостей перекладу текстів художньої літератури. Систематизація і класифікація труднощів з метою їхнього подолання.  Прикріплюю матеріали перекладу, на основі якого має писатися курсова. Матеріал повинен бути автентичний та робота не має бути скопійована чи містити плагіат.",Рефераты / Курсовые / Дипломы,uk
"Виконати на базі Bootstrap. Окремо треба надіслати:  - макет сайту, намальований в Ilustrator/ Photoshop (High Fidelity Propotype) у форматі jpg. Макет має відповідати стандартам модульної сітки Boostrap.  - окремо, файл, який би я могла завантажити вже на хостинг (html css) Дякую!  Текст і картинки можна заміняти. Враховуйте адаптивність. Ціна договірна",Верстка,uk
"Привіт! Є пропозиція по тимчасовому підробітку на декілька днів. Потрібно відшукати кандидатів по вакансії на Лінкедині. Я сама не встигаю, бо маю обмеження по часі.  Вакансія одна. Нічого складного - просто зберігати знайдені ссилки на профілі у будь якому форматі (можна в wordi чи текстовому документі, як зручніше). Якщо зацікавило - відпишіть пропозиції по оплаті. Дякую!",Рекрутинг,uk
"Ми парсимо сторінку allegro.pl. Зараз аллегро почав блокувати парсер, нам потрібно підключити систему проксі сервері на .NET, щоб обійти блокування, міняти ip адреса, щоб парсити сторінку. Вказуйте одразу ціну і час виконання.",Веб-программирование,uk
"Для різних законів розподілу ймовірностей звертання до записів провести порівняльний аналіз оптимальних схем деяких варіантів пошуку інформації у послідовних файлах баз даних. За критерій оптимальності прийнято математичне сподівання загального часу, потрібного для пошуку запису у файлі.",Прикладное программирование,uk
Доброго дня. Буде зроблена мережа заправок. Потрібно зробити розділи для пошуку вакансій.  1. Виконавчий директор. 2. Бухгалтер. 3. Заправник АЗС.  МОЖЕТЕ СКОПІЮВАТИ ГРАМОТНО КОЛИ ЦЕ БУДЕ КОПІРАЙТИНГ.  ЩО ГОЛОВНЕ ЩОБ ВАШ ТЕКСТ ПІДІЙШОВ ДЛЯ WORK.UA  Дійте.,Копирайтинг,uk
"Шановні виконавці! Винагорода 100 тисяч гривень. Що потрібно. Змоделювати сучасну заправку, причому логотип вже є. Мережа заправок буде називатися ""Petroline"". Потрібно змоделювати в 3D проект в AutoCad.  Є в нас чорновий зразок. Що потрібно далі. Ваше творіння. Перший дизайн світу. Щоб раса українців пишалась ними. Зробіть ваше творіння нових заправок в Україні, як будете бачити.  Скільки часу треба щоб спроектувати ваша справа.  Залишаю зразок чорнової моделі.  Що має бути в кінцевому результаті ваш новий світовий дизайн в червоному кольорі, який не буде схожий ні на кого.  Які ваші перші дії. Напишіть.",Фирменный стиль,uk
Профіль ПРО вже куплений. Вся інфа для розміщення є. Треба гарно поскладати і упакувати.  Вказуйте відразу ціну,Продвижение в социальных сетях (SMM),uk
Шукаю дизайнера для лендінгів для професіного обладнання кухні. Зайнятість може бути разова так і на постійні основі. Вартість,Дизайн сайта,uk
Розробка консольного додатку для автоматизації роботи працівників ветеринарної клініки з використанням принципів ООП,Прикладное программирование,uk
Потрібно додати пару нових функцій ботові який написаний на пайтон  Пишіть на телеграм або ватсап: 0976384462,Веб-программирование,uk
"Намалювати 2 х 2 анімовані гіфки конструкцій для вебсайту техніхгних атракціонів, по два варіанти для  а) вагончик на рейках з підйомником б) краноподібної конструкції  за стилем щось на кшталт https://images.app.goo.gl/dKx9ZufiaAxWZBos6 або https://images.app.goo.gl/MbJnLs49tjkar9Vb9   тобто 2D на прозорому тлі",3D Анимация,uk
"Все ясно з назви оголошення. Канал нульовий. Ніяких космічних цифр, а тільки реальні цілі. Для початку мета - як мінімум 1000 людей в місяць. Без накруток та іншого ""чорного"" просування. Цікавлять Ваші методи та бюджет. Відповідм в приват всім.",Продвижение в социальных сетях (SMM),uk
"Є абсолютно новий канал на ігрову тематику. З мене запис голосом, а з вас приємно оформлена нарізка кадрів геймплею тощо. Довжина відео буде від 5 до 15 хв (максимум). На початку в тиждень 1 відео. Розгляну всі пропозиції. За деталями в приват.",Видеомонтаж,uk
"Потрібен гуманітарій для виконання студентських робіт, роботи різноманітні від рефератів до дипломних. Оплата перші два замовлення по готовності, далі через аванс. Вказуйте 1. області з якими добре знайомі 2. поточну зайнятість 3. вартість реферату на вільну тему на 30 стр з унік 40 4. вартість реферату на вільну тему на 30 стр з унік 70 5. вартість презентації на 12 слайдів P.s. запитуватиму зразки робіт",Гуманитарные дисциплины,uk
"Є 5 малюнків (кожен надам в svg форматі) 1 - https://prnt.sc/114rqaj 2-5 - https://prnt.sc/114rqn3  В них дуже товнсті руки і нема пальців. Мені потрібно, щоб руки були схожі на ці референси: https://prnt.sc/114rs4b https://prnt.sc/114rsaa  Як результат, мені треба скинути 5 svg ілюстрації в новими руками. Бажано зробити сьогодні, дякую",Рисунки и иллюстрации,uk
"Для електромонтажної компанії створити сайт. Зараз є домен, хостінг. Також надамо бачення як має виглядати сайт. Наповненість плануємо робити самі через адміністравтивну лінійку.",Сайт «под ключ»,uk
"Компанія Piel Cosmetics — це бренд професійної косметики для тих, хто приймає виклики ставати краще день у день. Вже більше 10 років ми представлені на ринку України і продовжуємо динамічно розвиватися. Наша місія — зробити ефективний професійний догляд доступним і зрозумілим кожній жінці, а професію косметолога ще більш успішною, легкої, прибутковою, затребуваною і престижною! Ми відкриваємо двері для маркетолога-спеціаліста, який розуміється на принципах сучасного діджитал-простору, просування онлайн. Офіційна сторінка у Facebook — https://www.facebook.com/piel.cosmetics Офіційна сторінка в Instagram — https://www.instagram.com/pielcosmetics_official Чекаємо саме на тебе!  Ти вже з нами, якщо: Маєш досвід роботи з Google Ads від 2 років; Також маєш досвід проведення A/B тестів, орієнтованих на поліпшення ключових показників; Твої навички досконалі в роботи з сервісом аналітики Google Analytics, Google Ads, Facebook-BM; Дуже вітається, якщо ще маєш навички роботи з GTM, Google Optimize. Орієнтуєшся на ROAS; Розумієш як зараз розвивається сучасний маркетинг; Ти просунутий в знаннях Exel, Google Sheets, базових знання з SEO, розумієшся на CDJ; Аналітичний склад розуму — це обов’язково! Твої цікаві задачі в нашій команді:  Налаштовувати рекламу в Instagram, Facebook, Google, Google shopping, Tiktok; Розробляти, створювати та супроводжувати рекламні кампанії в Google Ads; Приймати участь в розробці стратегій просування продуктів в розрізі платних рекламних каналів; Будувати та оптимізовувати воронки онлайн-продажів; Здійснювати постановку ТЗ для візуальних креативів; Аналіз і оптимізація рекламних кампаній; Шукати нові джерела трафіку; Налаштувати проміжні та ключові цілі за допомогою ROAS; Готувати звітність та аналізувати результати. Будь впевнений — з нами буде цікаво, та ось що ми пропонуємо:  Конкурентну заробітну плату; Професійний дружній колектив; Складні та цікаві завдання, постійний професійний розвиток; Сучасний офіс в історичній частині Подолу 7 хв. від м. Контрактова площа; Корпоративну бібліотеку; Каву та смаколики; Корпоративні заходи та тренінги. Скоріше надсилай своє резюме: hr@pielcosmetics.com  Відправляючи резюме, Ви підтверджуєте свою згоду на обробку персональних даних, що Вами надаються.",Интернет-маркетинг,uk
"! Пишіть вартість своєї роботи та приклади !  Є 1 фото (пейзажне),  яке потрібно підготувати для друку великого постеру 50*70см - оживити кольори, прибрати дефекти, вирівняти горизонт т.п.  + порада на якому матеріалі краще надрукувати.  Для особистого користування, тому шукаю максимальну якість.   Якщо все буде ок - є ще фото для обробки.",Ретуширование/Коллажи,uk
Шукаємо архітектоора для проектування не складних бісєдок.По картинці потрібно зробити робочий проект та 3D візуальзацію.Оплату обговорюємо особосто,Архитектура,uk
"Розробка електронного"" Органайзера"". Прикладна програма передбачається для запису, зберігання і пошуку адрес і телефонів фізичних осіб та організацій. Необхідно автоматизувати створення розкладу подій, зустрічей, доручень, то-що. Для кожної події зазначається місце проведення, дата, час початку та кінця зустрічі. Слід передбачити формати введення дати та часу, перевіряти прави-льність внесених даних з метою уникнення накладок. Дана прикладна програ-ма може використовуватися директором і його секретарем. Необхідно органі-зувати пошук певної події за датою, назвою чи особою. Забезпечте нагадуван-ня про певну подію.",Прикладное программирование,uk
"Ми – компанія Altum Agency, яка більше 7 років працює на ринку інформаційних технологій, співпрацюючи із європейськими та американськими компаніями. Щоб іти у ногу з часом, нам потрібен сучасний, лаконічний та стильний логотип. Лого повинен бути витриманим у фірмовому стилі компанії (нижче буде прикріплено посилання на сайт компанії), із дотриманням кольористики. Серед побажань буде наявність на логотипі напису «Altum Agency». Лого буде розміщуватися на сайті компанії, щоб зробити його ще більш сучаснішим, та таким, що відповідатиме умовам ринку IT-технологій. Цільовою аудиторією логотипу будуть іноземні (європейські та американські) IT-компанії.  Відгукнутися можна тут, або написати на пошту: vovkin.basaj@gmail.com Посилання на сайт компанії: http://altum.nemesis.best",Логотипы,uk
"Шукаємо члена команди. Опиши свої сильні сторони в малюнку і те, як хотілося би реалізуватися. Ми часто резонуємо на бачення художника в творі й продукті загалом. Нам цікава така собі форма експерементального графічного співаторства. Але якщо ви звикші до іншої форми роботи, то не зволікайте й теж опишіть нам її.   Ставимо за ціль подаватися з осені на УКФ. Й розвивати продукт далі, в інших форматах також (мультфільм тощо)  Я художник і автор. Робота буде напряму зі мною. Віддам перевагу тим, хто з Дніпра, практика показала, що зустрічі продуктивніші.  Грошову винагороду вказую умовну. Хотілося б знайти партнера. Але якщо для Вас це цікаво лише як разовий заробіток, то теж не бійтеся бути у цьому відвертими.  Залишайте свій телеграм в коментах, я усім відповім. Дякую!",Рисунки и иллюстрации,uk
"Всім привіт, шукаємо людину для аналізу ключових слів. 6-8 годин в день потрібно виділяти на аналіз ключів.  Оплата - 1.5$/година Кому цікаво, пишіть в телеграм @solomiyapp або залиште +",Продвижение в социальных сетях (SMM),uk
Курсова робота. Механізація лісогосподарських робіт 7-8 сторінок Всі деталі в методичці.,Технические дисциплины,uk
Переклад текстів,Художественный перевод,uk
"Потрібен Front-end developer зі знаннями React.  Є декілька сторінок у Фігмі, які потрібно розробити за допомогою React. Дизайн покажу потенційним виконавцям.   Оплату можемо провести як через безопасную сдлеку так і напряму. Можлива оплата пілся кожної готової сторінки  Напишіть декілька слів про Ваш досвід, та надішліть 3-5 проектів зроблених Вами на React.  ШАБЛОННІ ВІДПОВІДІ БУДУТЬ ВІДХИЛЕНІ ВІДРАЗУ!",Веб-программирование,uk
"Потрібно створити (персонажа людина і собака), суто схематично і прмалювати інструкцшю з фізичних вправ.",Рисунки и иллюстрации,uk
Привіт! Потрібно зробити 3Д одного технічного приміщення в 70 кв.м. Термін виконання 1 тиждень. Будь ласка запропонуйте вартість послуг.,Интерьеры,uk
Побудова багаторівневого веб-застосування на Docker-платформі,Системное программирование,uk
Детальніше в телеграм: @Developer03,Программирование игр,uk
"Робота: неповна зайнятість, оплата буде по виконанню робіт. Але потреба бути на зв'язку пн-пт 09:00-18:00 (задачі можуть поступати в цей час).   Що необхідно робити:  Адміністрування в CRM-системи Creatio (розробник Terrasoft, колишня система bpm'online): створення нових користувачів, видача ліцензій, налаштування прав доступу, налаштування аналітики, побудова взаємозв'язків у системі, імпорт/експорт даних; Обговорення з керівництвом компанії задач по доробках та налаштуваннях по CRM-системи відповідно до бізнес-процесів компанії, формування ТЗ на доробки; Постановка ТЗ розробнику на доробки у CRM-системі через портал Jira, контроль за виконанням доробок, тестування, впровадження; Комунікація з розробником Terrasoft по видачі ліцензій, переліцензуванню системи, налаштуванню робочих місць; Комунікація з тех.підтримкою Terrasoft у випадку проблем роботи системи; Допомога користувачам компанії у налаштуваннях та користуванні системою; Пошук та пропозиція найкращих рішень для компанії по оптимізації процесів;   Вимоги:  Досвід роботи у в CRM-системі Creatio (розробник Terrasoft, колишня система bpm'online); Бажаний досвід координування CRM-системи; системний підхід до вирішення завдань, уважність; розуміння роботи всіх базових систем і доробок до CRM; знання принципів роботи 1С; розуміння бізнес-процесів компаній, вміння знаходити способи реалізації БП в CRM системі; вміння будувати аналітичні звіти; вміння інтерпретувати дані і оптимізувати процеси.   Бачення яким має бути кандидат:  Аналітичний склад розуму; здатність швидко навчатись; оперативність у виконанні задач; вміння самостійно працювати, приймати рішення; уважність при роботі з даними;",ERP и CRM интеграции,uk
"Тема роботи: Прогнозування погоди Предмет Прикладні системи штучного інтелекту на інженерія знань Робота має бути виконана повністю індивідуально та з практичним завданням Аванс скидається тоді, коли готова частина роботи та вчитель її одобряє, аферистів прошу не витрачати час, дякую",Прикладное программирование,uk
Потоібно зробити креатив лед торшерів. В най коротші строки,Наружная реклама,uk
дистанційно на неповний день послуги інтернет маркетолога,Интернет-маркетинг,uk
"Шукаємо спеціаліста для створення продающих рендерів елементів меблів для інтернет магазина.  Для початку потрібно зробити візуалізацію компьютерного стола:  https://letromebel.com.ua/p840989968-kompyuternyj-stol-maks.html  Потрібно: •рендер для головної фото карточки товара •рендера деталей стола (2-3 шт).   Приклади що хочем отримати в кінцевому результаті додаєм.   Пишіть вартість, термін виконаня та обовязково ваші роботи.",3D Моделирование,uk
"Налаштування реклами  Просування інстаграм сторінки Жіночого одягу  Підвищення впізнаваності магазину  Підвищення продажів Підбір контенту Деталі обговорюються. Співпраця може бути і на постійній основі, після підбору спеціаліста і результатів.",Продвижение в социальных сетях (SMM),uk
"Портал для сервиса компенсации транспортных затрат пациентам, посещающим медицинские учреждения. Состоит из ""кабинета врача"", ""кабинета пациента"" и ""админки"". Работать должен примерно так:  1. Пацієнт реєструється на порталі і шляхом авторизації через СМС або вхідний телефонний дзвінок, погоджується прийняти оферту.  2. Пацієнт вносить свої дані, завантажує скан паспорта, ІНН, місце проживання. 3. Система розраховує суму компенсації по відстані від місця проживання до медичного закладу. 4. В день візиту до закладу лікар підтверджує в системі, що візит пацієнта відбувся. Внаслідок цього готується електронний акт прийому-передачі для підписання пацієнтом. 5. Пацієнт для отримання платежу заходить в систему і ""підписує"" акт шляхом авторизації через СМС або телефонний дзвінок.  6. Після підписання ним акту прийому-передачі, система генерує запит бухгалтеру на виконання платежу (в ідеалі - автоматично готує драфт платежу в Приват24 для бізнесу).",Веб-программирование,uk
"Потрібно створити сайт з шаблонними сторінками, орієнтовно 5-8 різних сторінок, платформа - WP, стоїть візуальний білдер - Divi від Elegant Themes,  приклад з якого потрібно робити сторінки є, треба тільки візуально зробити сторінки, малювати і придумувати фактично нічого не потрібно, поради звичайно будуть вітатись.",Верстка,uk
"Потрібен парсер Facebook Marketplace, який при появі нового оголошення в заданій категорії, відправить імейл повідомлення.",Прикладное программирование,uk
"Якщо Ви: - володієте навичками роботи з HTML, CSS, JS - уважно ставитесь до кросбраузерної сумісності - можете похвалитися реальним досвідом відповідної роботи а також: - уважні, дисципліновані та пунктуальні - готові працювати на результат –  запрошуємо Вас до співпраці!  Над чим доведеться попрацювати? Ви будете переводити розроблені дизайнером макети двох сайтів в коди. Вимога по швидкісній роботі сайтів: 95-100% в Google Developers без накрутки цього показника.  Сайти мають бути заточені на 100% (в першу чергу - під мобільні телефони). Необхідне також оформлення кожного з сайтів за SЕО.  Ми пропонуємо: - гідні умови праці - достойний рівень заробітної плати - цікавий досвід роботи в унікальній сфері - цінне доповнення Вашого портфоліо - роботу в креативному колективі.  Разом із відгуком на вакансію обов’язково надсилайте своє резюме – без цього кандидатури розглядатися не будуть!",Верстка,uk
Потрібна людина. Менеджер на онлайн магазин.  оплата погодинно. Детальна інформація пишіть в wats app +447404034555,Поисковое продвижение (SEO),uk
Необхідний парсер сайту  Звичайний  Без наворотів Готове рішення Тг @KChapran,Сайт «под ключ»,uk
Потрібні пости для соц мереж  Магазин лампочок світильників Писати в телеграм одразу з пропозицією ціни @KChapran,SEO тексты,uk
"Потрібно зробити так, щоб дві програми працювали разом. Всі дані, які будуть вноситись в ""АРМ торгівлю"" одразу з'являлися і в ""1С"". Усі процеси були синхронізовані.",1С программирование,uk
"Аудиторська компанія Compass Group запрошує до участі в тендері на розробку сайту компанії. Ціна буде уточнюватись з виконавцем   Аудиторська компанія Compass Group надає аудиторські, консалтингові, юридичні та навчальні послуги компаніям, неприбутковим організаціям, нерезидентам та представництвам.   Сайт має:  •	відображати діяльність компанії;  •	бути привабливим та простим у навігації для клієнтів;  •	мати сучасний вигляд.   Попередній перелік послуг із комплексного створення сайту (повний перелік послуг буде узгоджено з виконавцем): •	розробка дизайну та структури сайту;  •	формування інструментарію;  •	розробка адаптивного дизайну; •	інтеграція з CRM-системою;  •	адаптація під перегляди на мобільних пристроях;  •	налаштування зручного адміністрування сайту;  •	передання сайту на підтримку та обслуговування.   Умови участі в тендері:  •	участь у тендері можуть брати як юридичні особи, так і фізичні особи-підприємці;  •	досвід роботи за аналогічними завданнями – від 3 років;   Для участі у конкурсі потрібно надіслати на електронну пошту shkurka.kompas@gmail.com до 11 квітня 2021 року:  1.	комерційну пропозицію;  2.	портфоліо робіт – обов'язково з інформацією про попередні виконані проекти з посиланням на них;  3.	контактні дані відповідальної особи (ПІБ, адреса електронної пошти, мобільний телефон)   Критерії відбору:  1.	портфоліо робіт;  2.	якість запропонованої концепції;  3.	вартість послуг.  З будь-яких питань звертайтеся за адресою shkurka.kompas@gmail.com",Сайт «под ключ»,uk
"Потрібен matlab спеціаліст для студ робіт. Завдання різні. Оплата за перші 2 замовлення по готовності, далі через аванс Вказуйте 1. досвід з matlab 2. поточну зайнятість P.s. запитуватиму зразки робіт та їх вартість",Технические дисциплины,uk
"Потрібен Python спеціаліст для виконання студентських робіт, роботи різноманітні від лабораторних до дипломних. Оплата перші два замовлення по готовності, далі через аванс. Вказуйте 1. досвід з Python та іншими мовами якщо такий є 2. поточну зайнятість 3. вартість програми для сортування масиву бульбашкою, вставками та квіксортом P.s. запитуватиму зразки коду",Прикладное программирование,uk
"Потрібен С++ спеціаліст для виконання студентських робіт, роботи різноманітні від лабораторних до дипломних. Оплата перші два замовлення по готовності, далі через аванс. Вказуйте 1. досвід з С++ та іншими мовами якщо такий є 2. поточну зайнятість 3. вартість програми для сортування масиву бульбашкою, вставками та квіксортом P.s. запитуватиму зразки коду",Прикладное программирование,uk
"Потрібен гуманітарій для виконання студентських робіт, роботи різноманітні від рефератів до дипломних. Оплата перші два замовлення по готовності, далі через аванс. Вказуйте 1. області з якими добре знайомі 2. поточну зайнятість 3. вартість реферату на вільну тему на 30 стр з унік 40 4. вартість реферату на вільну тему на 30 стр з унік 70 5. вартість презентації на 12 слайдів P.s. запитуватиму зразки робіт",Гуманитарные дисциплины,uk
"Потрібен математик для виконання студентських робіт, роботи різноманітні від розрахункових до дипломних. Оплата перші два замовлення по готовності, далі через аванс. Вказуйте 1. області математики з якими добре знайомі 2. поточну зайнятість 3. вартість обчислення СЛАР на 3 рівняння 4. вартість обчислення 10 інтегралів типу ln(x^3) dx",Технические дисциплины,uk
На постійні основі потрібні послуги адміністрування бітрікс 24 та техпідтримка,Техническая поддержка,uk
"Компанія, яка надає музичні промо послуги артистам з усього світу, шукає менеджера для ведення комунікації з клієнтами. Робота дистанційна. Не повний робочий день. Обов'язки: - email листування з клієнтами англійською мовою; - робота з базою несплачених замовлень в адмінці сайту, розташованому на платформі Shopify; - розміщення статей в мережі блогів, створених в площадці Wordpress (інтерфейс адмінки дуже простий, не обов'язково мати досвід роботи в ній). - комунікація з адміністратором щодо замовлень. Бажано знатись в музичній сфері.",Контент-менеджер,uk
Зробити сторінку оформлення з повним функціоналом. https://prnt.sc/10y1jjn Прохання не відкликатись хто не зробе. Затягувати вже часу немає,Веб-программирование,uk
"Потрібно зробити фото макіяжів , зачісок, брів. Коротенькі відео зняти, робіт і сам процес для інстаграм.",Видеосъемка,uk
Сайт та налаштування реклами на звязку по вайбері/Watssap/telegram,Сайт «под ключ»,uk
"Потрібна людина яка добре розбирається в будівництві та навантаженні металоконструкцій. Бажано проектант з стажем. Наша компанія займається броне конструкціями які потрібно розробити та намалювати згідно наших замовлень. Тобто є вулична будка обміну валют, нам потрібно щоб чітко описали матеріали, з’єднання, вмістимість матеріалів і тп.",Архитектура,uk
"потрібно замінити кожне шосте-сьоме слово синонімами, інколи  незначно перефразувати частину тексту роботи. загальний обсяг роботи - близько 25 сторінок. для фахівця - 2-3 год неквапливої роботи.",Рерайтинг,uk
"Шукаю дівчину (важливо. оскільки жжіноча тематика, одяг) для ручного завантаження товарних позицій з груп вайбер на сайт прому та соціальні мережі, оплата договірна від кількості загружених товарів",Рерайтинг,uk
Нужно до 31 числа написать курсовую работу на тему: Формування національного туристичного продукту України для ринку іноземного туризму (на прикладі роботи туристичної фірми). На 35-40 страниц. Уникальность не меньше 70%.,Рефераты / Курсовые / Дипломы,uk
"Якщо Ви: - володієте навичками роботи з софтами пакету Adobe (Photoshop, Illustrator) або з іншим програмним забезпеченням для якісної образотворчої роботи - можете похвалитися креативним складом розуму та реальним портфоліо власних робіт - маєте почуття смаку та стилю а також: - дисципліновані та пунктуальні - вмієте виконувати роботу в команді - готові працювати на результат –  запрошуємо Вас до співпраці!  Над чим доведеться попрацювати? Ви будете розробляти візуальні матеріали для наочності процесу навчання студентів-грумерів, а саме - створювати схеми грамотної побудови стрижок для домашніх тварин, виходячи з особливостей їх анатомії (приклади подано в закріплених зображеннях).  Ми пропонуємо: - гідні умови праці - достойний рівень заробітної плати - цікавий досвід роботи в унікальній сфері - цінне доповнення Вашого портфоліо - роботу в креативному колективі.  Разом із відгуком на вакансію обов’язково надсилайте своє портфоліо робіт – без цього кандидатури розглядатися не будуть!",Рисунки и иллюстрации,uk
"Якщо Ви: - можете похвалитися креативним складом розуму та реальними кейсами (власні неймінг-рішення для реальних компаній) - маєте почуття смаку та стилю а також: - дисципліновані та пунктуальні - вмієте виконувати роботу в команді - готові працювати на результат –  запрошуємо Вас до родини професіоналів «VogueDOG»!  Над чим доведеться попрацювати? Ви будете забезпечувати супровід комплексного процесу ребрендингу компанії, а саме - генерувати нову виграшну назву для мережі грумінг-салонів «VogueDOG» та Академії грумінгу компанії.  Ми пропонуємо: - гідні умови праці - достойний рівень заробітної плати - цікавий досвід роботи в унікальній сфері - цінне доповнення до Ваших кейсів - роботу в креативному колективі.  Разом із відгуком на вакансію обов’язково надсилайте своє резюме та кейси – без цього кандидатури розглядатися не будуть!",Слоганы/Нейминг,uk
